#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome","NC_003210.1",318,1673,"+",984365,"dnaA","lmo0001","NP_463534.1",451,"chromosome replication initiator DnaA"
"chromosome","NC_003210.1",1867,3012,"+",984379,"dnaN","lmo0002","NP_463535.1",381,"DNA polymerase III subunit beta"
"chromosome","NC_003210.1",3121,4464,"+",984420,,"lmo0003","NP_463536.1",447,"hypothetical protein lmo0003"
"chromosome","NC_003210.1",4644,4865,"+",984453,,"lmo0004","NP_463537.1",73,"hypothetical protein lmo0004"
"chromosome","NC_003210.1",4869,5981,"+",984623,"recF","lmo0005","NP_463538.1",370,"recombination protein F"
"chromosome","NC_003210.1",6030,7970,"+",984708,"gyrB","lmo0006","NP_463539.1",646,"DNA gyrase subunit B"
"chromosome","NC_003210.1",8065,10593,"+",984791,"gyrA","lmo0007","NP_463540.1",842,"DNA gyrase subunit A"
"chromosome","NC_003210.1",10728,12242,"+",984834,,"lmo0008","NP_463541.1",504,"cardiolipin synthase"
"chromosome","NC_003210.1",12258,12776,"+",984861,,"lmo0009","NP_463542.1",172,"spermidine acetyltransferase"
"chromosome","NC_003210.1",12918,13886,"+",984924,,"lmo0010","NP_463543.1",322,"mevalonate kinase"
"chromosome","NC_003210.1",13843,14814,"+",984930,,"lmo0011","NP_463544.1",323,"mevalonate diphosphate decarboxylase"
"chromosome","NC_003210.1",14795,15874,"+",984932,,"lmo0012","NP_463545.1",359,"mevalonate kinase"
"chromosome","NC_003210.1",16219,17325,"+",984936,"qoxA","lmo0013","NP_463546.1",368,"AA3-600 quinol oxidase subunit II"
"chromosome","NC_003210.1",17344,19323,"+",984962,"qoxB","lmo0014","NP_463547.1",659,"AA3-600 quinol oxidase subunit I"
"chromosome","NC_003210.1",19311,19922,"+",984980,"qoxC","lmo0015","NP_463548.1",203,"AA3-600 quinol oxidase subunit III"
"chromosome","NC_003210.1",19924,20256,"+",984983,"qoxD","lmo0016","NP_463549.1",110,"quinol oxidase aa3-600 subunit IV"
"chromosome","NC_003210.1",20308,21426,"-",984984,,"lmo0017","NP_463550.1",372,"capsule biosynthesis protein CapA"
"chromosome","NC_003210.1",21652,23085,"+",984990,,"lmo0018","NP_463551.1",477,"beta-glucosidase"
"chromosome","NC_003210.1",23132,23953,"-",985005,,"lmo0019","NP_463552.1",273,"hypothetical protein lmo0019"
"chromosome","NC_003210.1",24194,24934,"+",985023,,"lmo0020","NP_463553.1",246,"GntR family transcriptional regulator"
"chromosome","NC_003210.1",24950,25351,"+",985040,,"lmo0021","NP_463554.1",133,"PTS fructose transporter subunit IIA"
